100640,"MOBILTAC 325 NC, 17KG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100684,"MOBILTHERM 605, 208LT",2,0,2,0,0,0,4,5,1294347,0,1234345,0,0,0,2528692,3238930
100696,"MOBILUX EP 023, 16KG",0,0,0,0,1,0,1,1,0,0,0,0,87167,0,87167,87167
100700,"MOBILUX EP 2, 16KG",6,6,10,16,5,3,46,127,488868,488868,814780,1249912,410000,246000,3698428,10200674
100701,"MOBILUX EP 2, 54KG",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,295262
100702,"MOBILUX EP 2, 181KG",0,0,1,0,0,0,1,2,0,0,824028,0,0,0,824028,1648056
100703,"MOBILUX EP 1, 16KG",0,0,0,0,3,0,3,8,0,0,0,0,277812,0,277812,837297
100706,"MOBILUX EP 0, 16KG",0,0,0,1,0,0,1,4,0,0,0,96200,0,0,96200,444998
100724,"MOBILITH SHC 460, 16KG",0,0,1,0,0,0,1,1,0,0,313555,0,0,0,313555,313555
100727,"MOBILITH SHC 460, 174KG",0,0,1,0,0,0,1,2,0,0,2787116,0,0,0,2787116,5710312
100729,"MOBILITH SHC 007, 16KG",0,0,0,0,2,0,2,2,0,0,0,0,660104,0,660104,660104
100731,"MOBILITH SHC 220, 16KG",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,350177
100732,"MOBILITH SHC 220, 174KG",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3077046
100751,"MOBIL POLYREX EM, 16KG",0,0,0,0,4,0,4,9,0,0,0,0,1080000,0,1080000,2692967
100758,"MOBIL POLYREX EP 2, 16KG",0,0,0,0,3,0,3,29,0,0,0,0,671838,0,671838,7707470
100759,"MOBIL POLYREX EP 2, 180KG",0,1,0,0,1,0,2,3,0,2297000,0,0,2227994,0,4524994,7088956
100778,"MOBIL MAGNOLIA DRILL COMPOUND, 16KG",3,0,0,7,0,0,10,33,580083,0,0,1159102,0,0,1739185,6291360
100796,"MOBILARMA 798, 19LT",0,0,1,0,0,0,1,1,0,0,192464,0,0,0,192464,192464
100798,"MOBIL SOLVAC 1535 G, 19LT",1,11,2,0,1,0,15,16,128293,994323,225294,0,112647,0,1460557,1596673
100799,"MOBIL SOLVAC 1535 G, 208LT",0,0,1,1,2,0,4,5,0,0,994326,994326,1988653,0,3977305,5121569
100838,"MOBIL MARCOL N 82,19LT",0,0,0,0,1,0,1,4,0,0,0,0,87000,0,87000,448757
100840,"MOBIL MARCOL N 82, 212LT",1,0,0,1,0,0,2,2,1081477,0,0,895490,0,0,1976967,1976967
100983,"MOBIL NUTO H 32, 19LT",19,10,20,1,5,0,55,119,919855,439492,879420,43971,219900,0,2502638,5702217
100985,"MOBIL NUTO H 32, 208LT",2,3,2,5,3,4,19,31,798000,1197000,797888,1745048,1159000,1520064,7217000,12101936
100986,"MOBIL NUTO H 68, 19LT",12,17,5,3,22,12,71,140,545739,748525,219663,131850,967032,528870,3141679,6606679
100988,"MOBIL NUTO H 68, 208LT",4,2,8,12,16,0,42,84,1616848,785000,2918000,4233992,5861994,0,15415834,32354624
100989,"MOBIL NUTO H 100, 19LT",0,1,2,0,4,2,9,25,0,43971,87942,0,175884,90000,397797,1197797
100990,"MOBIL NUTO H 100, 208LT",1,3,2,0,1,0,7,25,385000,1219000,795000,0,380000,0,2779000,10078000
100991,"MOBIL NUTO H 46, 19LT",7,14,5,14,12,0,52,95,307797,615594,219855,615594,527679,0,2286519,4451519
100993,"MOBIL NUTO H 46, 208LT",8,10,8,11,2,1,40,110,3211000,3946848,3075000,3843000,790000,385000,15250848,43714848
101084,"MOBIL FAXAM 22, 208LT",1,0,0,0,1,0,2,3,611724,0,0,0,462463,0,1074187,1685911
101099,"MOBILGEAR 600 XP 68, 19LT",0,0,0,1,0,0,1,2,0,0,0,91500,0,0,91500,189823
101107,"MOBILGEAR 600 XP 150, 19LT",0,0,1,0,0,0,1,1,0,0,78752,0,0,0,78752,78752
101110,"MOBILGEAR 600 XP 220, 19LT",0,0,0,0,1,0,1,1,0,0,0,0,80306,0,80306,80306
101113,"MOBILGEAR 600 XP 320, 19LT",0,0,1,0,0,0,1,1,0,0,55000,0,0,0,55000,55000
101119,"MOBILGEAR 600 XP 680, 19LT",4,0,4,0,7,0,15,16,353768,0,353768,0,619094,0,1326630,1433497
101129,"MOBIL SPARTAN EP 150, 19LT",4,0,1,0,3,0,8,13,308016,0,67613,0,202839,0,578468,1042298
101130,"MOBIL SPARTAN EP 150, 208LT",0,0,0,1,0,0,1,1,0,0,0,622936,0,0,622936,622936
101133,"MOBIL SPARTAN EP 220, 19LT",0,2,1,1,1,0,5,5,0,137822,68911,73833,73833,0,354399,354399
101134,"MOBIL SPARTAN EP 220, 208LT",0,0,1,0,1,0,2,3,0,0,643558,0,643558,0,1287116,2027718
101139,"MOBIL SPARTAN EP 460, 19LT",1,1,0,0,0,0,2,2,71237,71237,0,0,0,0,142474,142474
101195,"MOBIL RARUS 824, 19LT",0,0,0,0,0,3,3,3,0,0,0,0,0,815184,815184,815184
101218,"MOBILGREASE XHP 322 MINE, 16KG",0,1,0,0,0,0,1,1,0,162650,0,0,0,0,162650,162650
101220,"MOBILGREASE XHP 321 MINE, 16KG",0,0,0,1,0,0,1,1,0,0,0,162650,0,0,162650,162650
101228,"MOBIL UNIREX N 2, 16KG",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,378372
101229,"MOBIL UNIREX N 2, 54KG",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1394248
101230,"MOBIL UNIREX N 2, 180KG",0,0,1,0,0,0,1,2,0,0,1779464,0,0,0,1779464,3558928
101232,"MOBILTEMP SHC 100, 18KG",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1645332
101524,"MOBILGREASE XHP 221, 16KG",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,248582
101680,"MOBILGREASE XHP462 MOLY, 16KG",0,0,0,0,5,0,5,9,0,0,0,0,660265,0,660265,1298637
101880,"MOBILTHERM 605, 19LT",4,0,0,8,0,0,12,17,299616,0,0,599232,0,0,898848,1351393
101990,"MOBILGEAR XMP 460, 208LTS",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,884870
102165,"MOBIL PERMAZONE, 208LT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,595478
102213,"MOBIL SPECIAL 20W-50, 19LT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76642
102302,"MOBIL DELVAC 1300 SUPER 15W-40, 208LT",0,0,2,1,0,2,5,7,0,0,1409376,704688,0,1409376,3523440,5063852
102410,"MOBIL EXTRA 4T 10W-40, 1LT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74141
102490,"MOBIL DTE 10 EXCEL 46, 208LT",0,0,0,3,0,0,3,3,0,0,0,2958276,0,0,2958276,2958276
102530,"MOBIL SHC CIBUS 32, 20LT",0,0,0,5,0,0,5,5,0,0,0,2411670,0,0,2411670,2411670
102531,"MOBIL SHC CIBUS 46, 20LT",0,5,0,0,7,0,12,12,0,2411670,0,0,3376338,0,5788008,5788008
102536,"MOBIL SHC CIBUS 220, 20LT",0,1,0,0,0,0,1,1,0,482334,0,0,0,0,482334,482334
102537,"MOBIL SHC CIBUS 320, 20LT",1,0,0,0,0,0,1,1,482334,0,0,0,0,0,482334,482334
102540,"MOBIL DTE 10 EXCEL 32, 208LT",0,0,0,3,0,0,3,3,0,0,0,2715000,0,0,2715000,2715000
102543,"MOBIL DTE 10 EXCEL 32, 19LT",0,0,0,2,0,0,2,2,0,0,0,186798,0,0,186798,186798
102544,"MOBIL DTE 10 EXCEL 46, 19LT",0,0,0,1,0,0,1,2,0,0,0,97636,0,0,97636,215612
102545,"MOBIL DTE 10 EXCEL 68, 19LT",0,0,0,2,0,0,2,2,0,0,0,188000,0,0,188000,188000
102550,"MOBIL DTE 10 EXCEL 15 , 19LT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,134443
102680,"MOBILGEAR SHC XMP 320, 19LT",0,1,0,0,0,0,1,2,0,294755,0,0,0,0,294755,607483
102750,"MOBIL EXTRA 4T 10W-40, 208LT",0,1,0,0,0,0,1,1,0,1340992,0,0,0,0,1340992,1340992
102921,"MOBILGEAR XMP 320, 208LT",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2847797
102994,"MOBILMET 426, 208 LT",1,1,1,2,1,0,6,9,679182,679182,679182,1358364,679182,0,4075092,6770259
102995,"MOBILMET 426, 19LT",1,0,1,0,1,0,3,6,70962,0,70962,0,71000,0,212924,508600
103094,"MOBIL SHC GEAR 220, 19LT",1,0,1,6,6,0,14,18,264289,0,264291,1585746,1585746,0,3700072,4748112
103095,"MOBIL SHC GEAR 320, 19LT",0,0,0,1,0,0,1,1,0,0,0,267291,0,0,267291,267291
103400,"MOBIL RARUS 427, 208LT",0,1,0,0,0,0,1,2,0,605183,0,0,0,0,605183,1301623
103410,"MOBIL RARUS 427, 19LT",0,0,0,2,-2,0,0,5,0,0,0,157452,-157452,0,0,475635
103490,"MOBIL COOLANT COPEC, 5LT",0,0,0,12,40,0,52,52,0,0,0,230688,768960,0,999648,999648
103601,"MOBIL SUPER 3000 X2 5W-40, 4LT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,120870
103606,"MOBIL SPECIAL 10W-40, 208LT",0,0,0,1,0,0,1,1,0,0,0,612000,0,0,612000,612000
103670,"MOBIL BIO CHAIN SAW OIL 68, 200LT",0,1,0,0,0,0,1,3,0,513580,0,0,0,0,513580,1872257
